x,y,r
1,8.8,10
2,8.2,10
3,11.4,10
4,13.6,10
5,20.6,10
6,24.3,10
7,25.7,10
8,30,10
9,25.9,10
10,19.1,10
11,15.1,10
12,8.8,10
