month,temperature
Jan-20,8.8
Feb-20,8.2
Mar-20,11.4
Apr-20,13.6
May-20,20.6
Jun-20,24.3
Jul-20,25.7
Aug-20,30
Sep-20,25.9
Oct-20,19.1
Nov-20,15.1
Dec-20,8.8
